Subject,hasIter,label,repairRelatedTo
https://w3id.org/italia/env/ld/ihi/lot/dait@23_1632/xm1,,"LAVORI DI ADEGUAMENTO SISMICO DEL COMPLESSO SCOLASTICO ""ORSI-LA PIRA DIREZIONE I.C.S.P."" 2° LOTTO - VIA CAVANIS*VIA CAVANIS*LAVORI DI ADEGUAMENTO SISMICO DELCOMPLESSO SCOLASTICO ""ORSI"" - ""LA PIRA"" E DIREZIONE I.C.S.P. - SECONDO LOTTO - VIACAVANIS- INTERV",
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_4855/xm1,,intervento DAIT@21_4855/XM ha ente attuatore Comune - MEDOLLA,
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_3209/xm1,,intervento DAIT@21_3209/XM ha ente attuatore Comune - CHIUSA DI SAN MICHELE,
https://w3id.org/italia/env/ld/ihi/lotstep/014/091-210,,certificato ultimazione lavori,
https://w3id.org/italia/env/ld/ihi/lot/dpc@23_6833/xm1,,STABILIZZAZIONE VERSANTE E MESSA IN SICUREZZA ABITATO DALLI  SOTTO - 3° LOTTO,
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_4550/xm,,DPCM Proteggitalia del 20/02/2019,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_2525/xm1,,RIMOZIONE MATERIALE ALLUVIONALE*VIA TORRENTE CIMOLIANA*RIMOZIONE MATERIALE ALLUVIONALE NELLA ZONA A MONTE DEL PONTE DELLA STRADA REGIONALE 251,
https://w3id.org/italia/env/ld/ihi/repair/299/021si-5,,opere realizzate per l'intervento 299/021,
https://w3id.org/italia/env/ld/ihi/authkind/autbac/lu083a/10,,intervento LU083A/10 ha autorità di bacino Autorità di Bacino - Toscana Nord,
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_3012/xm1-132,,Informazione acquisita (o confermata) da interrogazione automatica su BDAP del giorno 2023-07-24,
https://w3id.org/italia/env/ld/ihi/intervention/373/99,,CONSOLIDAMENTO LATO MERIDIONALE DELLA RUPE,
