Subject,Type
https://w3id.org/italia/env/ld/ihi/economicindicator/ud026c/101_1,https://w3id.org/italia/env/ld/skos/ihi/_l_or_i_stima_valore_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/135/092_3,https://w3id.org/italia/env/ld/skos/ihi/_l_importo_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/03ir424/g11_1,https://w3id.org/italia/env/ld/skos/ihi/_l_or_i_stima_valore_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@23_1388/xm1_1,https://w3id.org/italia/env/ld/skos/ihi/_l_or_i_stima_valore_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/484/091_19,https://w3id.org/italia/env/ld/skos/ihi/l_qe_onerisicfin
https://w3id.org/italia/env/ld/ihi/economicindicator/365/991_14,https://w3id.org/italia/env/ld/skos/ihi/l_qe_imprevistiprog
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_0718/xm1_1,https://w3id.org/italia/env/ld/skos/ihi/_l_or_i_stima_valore_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/533/991_22,https://w3id.org/italia/env/ld/skos/ihi/l_qe_spesetecfin
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_2444/xm1_3,https://w3id.org/italia/env/ld/skos/ihi/_l_importo_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/mt027b/101_20,https://w3id.org/italia/env/ld/skos/ihi/l_qe_esproprifin
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@21_5825/xm1_3,https://w3id.org/italia/env/ld/skos/ihi/_l_importo_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_4956/xm1_1,https://w3id.org/italia/env/ld/skos/ihi/_l_or_i_stima_valore_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/014/0227_3,https://w3id.org/italia/env/ld/skos/ihi/_l_importo_lotto
