Subject,hasEconomicIndicator,isLotOf,cup,contractingAuthority
https://w3id.org/italia/env/ld/ihi/lot/dait@21_7423/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_7423/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_0408/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_0408/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/014/0229,https://w3id.org/italia/env/ld/ihi/economicindicator/014/0229_3,,,
https://w3id.org/italia/env/ld/ihi/lot/pg007a/1054,https://w3id.org/italia/env/ld/ihi/economicindicator/pg007a/1054_5,,,
https://w3id.org/italia/env/ld/ihi/lot/fg022a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/fg022a/101_11,,,
https://w3id.org/italia/env/ld/ihi/lot/cb017a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/cb017a/101_14,,,
https://w3id.org/italia/env/ld/ihi/lot/313/061,https://w3id.org/italia/env/ld/ihi/economicindicator/313/061_25,,,
https://w3id.org/italia/env/ld/ihi/lot/198/071,https://w3id.org/italia/env/ld/ihi/economicindicator/198/071_10,,,
https://w3id.org/italia/env/ld/ihi/lot/ms033a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/ms033a/101_10,,,
https://w3id.org/italia/env/ld/ihi/lot/074/981,https://w3id.org/italia/env/ld/ihi/economicindicator/074/981_5,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_0715/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_0715/xm1_5,,,
https://w3id.org/italia/env/ld/ihi/lot/038/071,https://w3id.org/italia/env/ld/ihi/economicindicator/038/071_19,,,
https://w3id.org/italia/env/ld/ihi/lot/cb026a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/cb026a/101_5,,,101
https://w3id.org/italia/env/ld/ihi/lot/01ira44/g16,https://w3id.org/italia/env/ld/ihi/economicindicator/01ira44/g16_17,,,
https://w3id.org/italia/env/ld/ihi/lot/143/081,https://w3id.org/italia/env/ld/ihi/economicindicator/143/081_12,,,
https://w3id.org/italia/env/ld/ihi/lot/pz068a/101,https://w3id.org/italia/env/ld/ihi/economicindicator/pz068a/101_4,,,
https://w3id.org/italia/env/ld/ihi/lot/305/081,https://w3id.org/italia/env/ld/ihi/economicindicator/305/081_17,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_4529/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_4529/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/064/071,https://w3id.org/italia/env/ld/ihi/economicindicator/064/071_12,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@22_0766/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@22_0766/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_2434/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_2434/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_0527/xm1,https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_0527/xm1_3,,,
https://w3id.org/italia/env/ld/ihi/lot/15ir912/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/15ir912/g11_3,,,
https://w3id.org/italia/env/ld/ihi/lot/15irb88/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/15irb88/g11_3,,,
https://w3id.org/italia/env/ld/ihi/lot/223/061,https://w3id.org/italia/env/ld/ihi/economicindicator/223/061_3,,,
https://w3id.org/italia/env/ld/ihi/lot/476/091,https://w3id.org/italia/env/ld/ihi/economicindicator/476/091_24,,,
https://w3id.org/italia/env/ld/ihi/lot/01ira34/g13,https://w3id.org/italia/env/ld/ihi/economicindicator/01ira34/g13_1,,,
https://w3id.org/italia/env/ld/ihi/lot/09ir284/g11,https://w3id.org/italia/env/ld/ihi/economicindicator/09ir284/g11_10,,,
