Subject,value
https://w3id.org/italia/env/ld/ihi/economicindicator/042/081_20,"""61072,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/fe082a/107_22,"""1500,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_3420/xm1_1,"""300000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/co047a/101_1,"""400000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/056/064_1,"""302749,72"""
https://w3id.org/italia/env/ld/ihi/economicindicator/279/081_6,"""95805,78"""
https://w3id.org/italia/env/ld/ihi/economicindicator/vt066b/101_3,"""69739,16"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_3112/xm1_1,"""100000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_1863/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/mb079b/101_16,"""28,38"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_7282/xm1_1,"""70000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/08ir202/g11_1,"""1200000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/ct034a/101_24,"""2945,37"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_5185/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/al002a/101_4,"""300000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/at040a/101_1,"""200000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/382/991_19,"""7850,14"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_0054/xm1_1,"""300000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@23_0348/xm1_1,"""180000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@21_6040/xm1_1,"""300000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@22_1005/xm1_1,"""880000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/01ira47/g16_16,"""8,10"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@22_5701/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_2883/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_4568/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_3221/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/068/021_13,"""9693,67"""
https://w3id.org/italia/env/ld/ihi/economicindicator/510/021_18,"""110336,07"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_1855/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/014/023_1,"""62500,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@23_1213/xm1_1,"""50000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/196/021_6,"""11233,38"""
https://w3id.org/italia/env/ld/ihi/economicindicator/bt027a/101_3,"""5000000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_3973/xm1_1,"""200000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/mo002b/108_4,"""115000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_0642/xm1_1,"""354699,24"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@23_0161/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/10ir136/g11_23,"""9917,14"""
https://w3id.org/italia/env/ld/ihi/economicindicator/03ir001/g91_4,"""2600000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_0248/xm1_1,"""950000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_6851/xm1_3,"""0,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_6134/xm1_1,"""490000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/13ir896/g11_1,"""800000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/256/071_5,"""2147845,95"""
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_4216/xm1_1,"""995000,00"""
https://w3id.org/italia/env/ld/ihi/economicindicator/09ir200/g11_10,"""8056,02"""
https://w3id.org/italia/env/ld/ihi/economicindicator/17ir133/g11_1,"""767193,33"""
