Subject,officialInstabilityType,contractingAuthority
https://w3id.org/italia/env/ld/ihi/intervention/17ir023/g1,,https://w3id.org/italia/env/ld/ihi/authkind/prop/17ir023/g1
https://w3id.org/italia/env/ld/ihi/lot/dait@21_3382/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_3382/xm1
https://w3id.org/italia/env/ld/ihi/intervention/dpc@21_6040/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dpc@21_6040/xm
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_5082/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@19_5082/xm
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_1590/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@21_1590/xm
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_4536/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@19_4536/xm1
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_4536/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@19_4536/xm
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1369/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@23_1369/xm
https://w3id.org/italia/env/ld/ihi/intervention/228/09,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/228/09
https://w3id.org/italia/env/ld/ihi/intervention/01ir012/g3,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/01ir012/g3
https://w3id.org/italia/env/ld/ihi/intervention/cn098a/10,,https://w3id.org/italia/env/ld/ihi/authkind/prop/cn098a/10
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1696/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@23_1696/xm
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_4415/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@21_4415/xm
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_1752/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@21_1752/xm
https://w3id.org/italia/env/ld/ihi/lot/dait@21_6934/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_6934/xm1
https://w3id.org/italia/env/ld/ihi/lot/dait@21_2020/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_2020/xm1
https://w3id.org/italia/env/ld/ihi/intervention/ci013a/10,,https://w3id.org/italia/env/ld/ihi/authkind/prop/ci013a/10
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_0652/xm,Frana,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@23_0652/xm
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_3522/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@19_3522/xm1
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_4128/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@19_4128/xm
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_6854/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@21_6854/xm
https://w3id.org/italia/env/ld/ihi/intervention/dpc@22_5458/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@22_5458/xm
https://w3id.org/italia/env/ld/ihi/lot/292/071,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/292/071
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_5702/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@21_5702/xm
