Subject,role
https://w3id.org/italia/env/ld/ihi/authkind/autbac/317/06,autorità di bacino
https://w3id.org/italia/env/ld/ihi/authkind/prop/18ir273/g1,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/autbac/005/99,autorità di bacino
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@21_6379/xm,autorità di bacino
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@21_2085/xm,autorità di bacino
https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@21_3846/xm,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/prop/265/02,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@19_1226/xm,autorità di bacino
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@22_0437/xm1,ente attuatore
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@19_3626/xm1,ente attuatore
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@19_2254/xm,autorità di bacino
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@19_0547/xm1,ente attuatore
https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@21_4473/xm,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@23_1109/xm,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@21_3066/xm,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/prop/dpc@19_5187/xm,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/prop/19irc57/g1,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@21_5940/xm1,ente attuatore
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@21_5683/xm,autorità di bacino
https://w3id.org/italia/env/ld/ihi/authkind/prop/dpc@19_1436/xm,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@19_3125/xm,autorità di bacino
https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@23_0156/xm,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/autbac/cs182b/10,autorità di bacino
https://w3id.org/italia/env/ld/ihi/authkind/prop/101/06,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/prop/11ir194/g1,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@21_5149/xm,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@19_0254/xm,ente proponente
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@23_1840/xm1,ente attuatore
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@19_4792/xm1,ente attuatore
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_2028/xm1,ente attuatore
https://w3id.org/italia/env/ld/ihi/authkind/prop/dpc@19_5030/xm,ente proponente
