Subject,location
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0490/xm1,COMPLETAMENTO DEL CONSOLIDAMENTO CENTRO ABITATO LOCALITA` CARRANCANI
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_0916/xm1,COMUNE DI ALDINO
https://w3id.org/italia/env/ld/ihi/lot/dpc@21_6523/xm1,STRADA ACQUARICCIA SERRA RUCCHETTA E MAILLO
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_5745/xm,VIA VALLE MADONNA
https://w3id.org/italia/env/ld/ihi/lot/16ir467/g11,Rione Toppo - Diga di Occhito
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1944/xm,LOC. PUNTA TAPPARELLO
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_3768/xm1,VIA MARCHE
https://w3id.org/italia/env/ld/ihi/lot/vb212a/101,CENTRO ABITATO - FRAZIONE PONTE (SEDE COMUNALE)                        (CTR TAVOLA 036020)
https://w3id.org/italia/env/ld/ihi/lot/11ir013/mt1,Pancaldo
https://w3id.org/italia/env/ld/ihi/lot/dpc@20_5430/xm1,"""S. CATERINA, SALATO, SCURSUNALE, PATTANI"""
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_4336/xm1,STRADA COMUNALE DEL FALIDO - MANAZZO - BISA - PIAN DEL MORTO
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0690/xm1,VIA SAN ROCCO-PIAZZALE ITALIA E VIA CALTANISSETTA
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1715/xm1,VIA GEMMANO
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1909/xm,IMPIANTO IDROVORO MADONNINA ALBERICI
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_4269/xm,S.C.
https://w3id.org/italia/env/ld/ihi/intervention/bi082a/10,VARIE
https://w3id.org/italia/env/ld/ihi/intervention/416/99,ARICCIA
https://w3id.org/italia/env/ld/ihi/lot/dait@23_1266/xm1,LOC. LERANO
https://w3id.org/italia/env/ld/ihi/lot/231/071,Isola S. Nicola  - La Tagliata
https://w3id.org/italia/env/ld/ihi/lot/dait@21_2385/xm1,RONSECCO
https://w3id.org/italia/env/ld/ihi/lot/052/021,FOSSO DELLA MADDALENA
https://w3id.org/italia/env/ld/ihi/lot/665/991,"""Torrente Zia Francesca, Fiumara e Gamba Tesa"""
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1227/xm1,VIA LIGONIA CARELLA
https://w3id.org/italia/env/ld/ihi/lot/dpc@20_6079/xm1,LOCALIT� ALBARETI
https://w3id.org/italia/env/ld/ihi/intervention/08ir317/g1,Torriana
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_6705/xm,RUFIANO
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_4486/xm1,VALINA - CIESS
https://w3id.org/italia/env/ld/ihi/intervention/dpc@22_5876/xm,LOC. LIDO DI VETTO IN COMUNE DI VETTO (RE)
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_1938/xm,SANT'ANGELO LIMOSANO
https://w3id.org/italia/env/ld/ihi/intervention/dpc@21_6025/xm,FOSSO DELLA CAROGNA
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_0714/xm,TERRITORIO COMUNALE
https://w3id.org/italia/env/ld/ihi/lot/dait@21_0103/xm1,CELANO
https://w3id.org/italia/env/ld/ihi/lot/195/071,Versante meridionale
https://w3id.org/italia/env/ld/ihi/intervention/345/02,S.Croce
https://w3id.org/italia/env/ld/ihi/lot/dait@21_2341/xm1,TROFARELLO
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_3342/xm1,VIA BANI E PAGHEROLA
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_2619/xm,VIA ...
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_3088/xm,PIAZZA PLEBISCITO
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_0600/xm,RIO BASTELE
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1222/xm,VIA PONTERIO
https://w3id.org/italia/env/ld/ihi/lot/av057b/101,Vallone Iemale in località Saudelle di Sopra
https://w3id.org/italia/env/ld/ihi/lot/411/991,OTTADUNA
https://w3id.org/italia/env/ld/ihi/lot/dpc@22_5486/xm1,BRUZZANO VECCHIO
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_5362/xm,TERRITORIO COMUNALE
https://w3id.org/italia/env/ld/ihi/lot/dait@21_2772/xm1,SCHEGGINO
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1839/xm,VIA UGO FOSCOLO ANGOLO VIA RIMEMBRANZE
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_6134/xm,PIAZZA A. GRAMSCI
https://w3id.org/italia/env/ld/ihi/intervention/288/02,Torrenti Perledo e Bassola
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_4404/xm,VIA PREDEVAIA
https://w3id.org/italia/env/ld/ihi/intervention/268/07,Versante sud ovest Castello
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_1781/xm,SANTA MARIA NUOVA
https://w3id.org/italia/env/ld/ihi/lot/vv077a/101,Corsi d´acqua all´interno dell´abitato
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_2986/xm,STRADA CITTI E VERSANTE SOTTOSTANTE
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_5116/xm,LOC. GHIACCIONI
https://w3id.org/italia/env/ld/ihi/intervention/349/06,Manca
https://w3id.org/italia/env/ld/ihi/lot/dait@21_5864/xm1,TERRITORIO COMUNALE
https://w3id.org/italia/env/ld/ihi/lot/01ir004/g31,ponte ceronda
