Subject,Description
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_4597/xm,DPCM Proteggitalia del 20/02/2019
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_3970/xm,DPCM Proteggitalia del 20/02/2019
https://w3id.org/italia/env/ld/ihi/agreement/lu061a/10,Accordo di programma  MATTM - Regione Toscana finalizzato alla programmazione e al finanziamento di interventi urgenti e prioritari per la mitigazione del rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_0068/xm,Decreto Dipartimento DAIT Ministero Interno del 23 feb 2021 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_4538/xm,DPCM Proteggitalia del 20/02/2019
https://w3id.org/italia/env/ld/ihi/agreement/cn119a/10,Accordo di programma  MATTM - Regione Piemonte finalizzato alla programmazione e al finanziamento di interventi urgenti e prioritari per la mitigazione del rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_0364/xm,Decreto Dipartimento DAIT Ministero Interno del 23 feb 2021 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/10ir117/g1,Decreto Ministeriale n. 486 del 25/11/2021 Regione Umbria
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_5688/xm,Decreto Dipartimento DAIT Ministero Interno del 08 novembre 2021 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/567/99,"""approvazione del programma di interventi della regione Calabria, annualità 1999-2000"""
https://w3id.org/italia/env/ld/ihi/agreement/pz006a/10,Accordo di programma  MATTM - Regione Basilicata finalizzato alla programmazione e al finanziamento di interventi urgenti e prioritari per la mitigazione del rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_1265/xm,Decreto Dipartimento DAIT Ministero Interno del 23 feb 2021 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/aq017a/10,Accordo di programma  MATTM - Regione Abruzzo finalizzato alla programmazione e al finanziamento di interventi urgenti e prioritari per la mitigazione del rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/19ir470/g1,Regione Sicilia II - Approvazione elenco interventi finanziati con il Fondo per la Progettazione ex DPCM 14.07.2016
https://w3id.org/italia/env/ld/ihi/agreement/205/06,Definizione ed attivazione del 11° programma stralcio di interventi (DS/2005/321)
https://w3id.org/italia/env/ld/ihi/agreement/500/99,"""approvazione del programma di interventi della regione Campania, annualità 1999-2000"""
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_6930/xm,Decreto InterMinisteriale DAIT del 03 maggio 2021 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/kr129b/10,Accordo di programma  MATTM - Regione Calabria finalizzato alla programmazione e al finanziamento di interventi urgenti e prioritari per la mitigazione del rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_3335/xm,DPCM Proteggitalia del 20/02/2019
https://w3id.org/italia/env/ld/ihi/agreement/dait@23_0191/xm,Decreto InterMinisteriale DAIT del 19 maggio 2023 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/pc045b/10,Accordo di programma  MATTM - Regione Emilia Romagna finalizzato alla programmazione e al finanziamento di interventi urgenti e prioritari per la mitigazione del rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_3731/xm,DPCM Proteggitalia del 20/02/2019
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_6523/xm,Decreto InterMinisteriale DAIT del 03 maggio 2021 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_3786/xm,DPCM Proteggitalia del 20/02/2019
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_0776/xm,DPCM Proteggitalia del 20/02/2019
https://w3id.org/italia/env/ld/ihi/agreement/dait@23_0972/xm,Decreto InterMinisteriale DAIT del 19 maggio 2023 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_6342/xm,Decreto Dipartimento DAIT Ministero Interno del 08 novembre 2021 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_1130/xm,DPCM Proteggitalia del 20/02/2019
https://w3id.org/italia/env/ld/ihi/agreement/dait@23_0355/xm,Decreto InterMinisteriale DAIT del 19 maggio 2023 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/14ir001/if,Molise_DM_430.19-12-2023
https://w3id.org/italia/env/ld/ihi/agreement/18ir084/g1,Patto per lo Sviluppo della Regione Calabria - DGR Calabria n. 355 del 31 Luglio 2017
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_7495/xm,Decreto InterMinisteriale DAIT del 03 maggio 2021 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_5577/xm,Decreto Dipartimento DAIT Ministero Interno del 08 novembre 2021 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dait@19_0342/xm,Decreto Dipartimento DAIT Ministero Interno del 30 dicembre 2019 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_5913/xm,Decreto Dipartimento DAIT Ministero Interno del 08 novembre 2021 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/re095r/10,Terzo atto integrativo all’accordo di programma MATTM - Regione Emilia Romagna finalizzato alla programmazione e al finanziamento di interventi urgenti e prioritari per la mitigazione del rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dait@23_0955/xm,Decreto InterMinisteriale DAIT del 19 maggio 2023 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
https://w3id.org/italia/env/ld/ihi/agreement/dait@19_0705/xm,Decreto InterMinisteriale DAIT del 06 marzo 2019 -  assegnazione contributi ai comuni per interventi di messa in sicurezza del territorio a rischio idrogeologico
