Subject,primaryGeographicalFeature
https://w3id.org/italia/env/ld/ihi/intervention/dpc@22_5866/xm,https://w3id.org/italia/env/ld/place/municipality/00201_034006
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_4397/xm,https://w3id.org/italia/env/ld/place/municipality/00201_028075
https://w3id.org/italia/env/ld/ihi/intervention/281/99,https://w3id.org/italia/env/ld/place/municipality/00201_047020
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_2273/xm,https://w3id.org/italia/env/ld/place/municipality/00201_001012
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_4120/xm,https://w3id.org/italia/env/ld/place/municipality/00201_098032
https://w3id.org/italia/env/ld/ihi/intervention/09ir777/g1,https://w3id.org/italia/env/ld/place/municipality/00201_047012
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_0244/xm,https://w3id.org/italia/env/ld/place/municipality/00201_058122
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_3292/xm,https://w3id.org/italia/env/ld/place/municipality/00201_001236
https://w3id.org/italia/env/ld/ihi/intervention/dait@19_0015/xm,https://w3id.org/italia/env/ld/place/municipality/00201_061075
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1244/xm,https://w3id.org/italia/env/ld/place/municipality/00201_010028
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_0496/xm,https://w3id.org/italia/env/ld/place/municipality/00201_029044
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_0902/xm,https://w3id.org/italia/env/ld/place/municipality/00201_021027
https://w3id.org/italia/env/ld/ihi/intervention/dait@19_0132/xm,https://w3id.org/italia/env/ld/place/municipality/00201_078070
https://w3id.org/italia/env/ld/ihi/intervention/10ir168/g1,https://w3id.org/italia/env/ld/place/municipality/00201_054030
https://w3id.org/italia/env/ld/ihi/intervention/020/09,https://w3id.org/italia/env/ld/place/municipality/00201_102028
https://w3id.org/italia/env/ld/ihi/intervention/170/06,https://w3id.org/italia/env/ld/place/municipality/00201_078001
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1616/xm,https://w3id.org/italia/env/ld/place/municipality/00201_038005
https://w3id.org/italia/env/ld/ihi/intervention/140/07,https://w3id.org/italia/env/ld/place/municipality/00201_014078
https://w3id.org/italia/env/ld/ihi/intervention/346/08,https://w3id.org/italia/env/ld/place/municipality/00201_009065
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1960/xm,https://w3id.org/italia/env/ld/place/municipality/00201_035018
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_4460/xm,https://w3id.org/italia/env/ld/place/municipality/00201_026035
https://w3id.org/italia/env/ld/ihi/intervention/dait@19_0691/xm,https://w3id.org/italia/env/ld/place/municipality/00201_085003
https://w3id.org/italia/env/ld/ihi/intervention/cs130b/10,https://w3id.org/italia/env/ld/place/municipality/00201_078095
https://w3id.org/italia/env/ld/ihi/intervention/01ir114/g1,https://w3id.org/italia/env/ld/place/municipality/00201_006018
https://w3id.org/italia/env/ld/ihi/intervention/455/99,https://w3id.org/italia/env/ld/place/municipality/00201_067046
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1851/xm,https://w3id.org/italia/env/ld/place/municipality/00201_046010
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1554/xm,https://w3id.org/italia/env/ld/place/municipality/00201_005019
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_0567/xm,https://w3id.org/italia/env/ld/place/municipality/00201_080030
https://w3id.org/italia/env/ld/ihi/intervention/119/06,https://w3id.org/italia/env/ld/place/municipality/00201_004178
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_7041/xm,https://w3id.org/italia/env/ld/place/municipality/00201_008008
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_2228/xm,https://w3id.org/italia/env/ld/place/municipality/00201_030086
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_5313/xm,https://w3id.org/italia/env/ld/place/municipality/00201_042021
https://w3id.org/italia/env/ld/ihi/intervention/pa180a/10,https://w3id.org/italia/env/ld/place/municipality/00201_082027
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_4684/xm,https://w3id.org/italia/env/ld/place/municipality/00201_030072
