Subject,procedureType
https://w3id.org/italia/env/ld/ihi/lot/dait@21_5539/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/132/991,Procedura aperta (o pubblico incanto-asta pubblica-pubblica gara)
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1989/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dait@21_1362/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dait@22_0279/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0031/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/009/081,Procedura ristretta (o licitazione privata)
https://w3id.org/italia/env/ld/ihi/lot/dait@21_3098/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1412/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dait@22_0763/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dait@23_1633/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/061/981,Procedura aperta (o pubblico incanto-asta pubblica-pubblica gara)
https://w3id.org/italia/env/ld/ihi/lot/dpc@22_6076/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/cn155a/101,Procedura negoziata - senza pubbl. bando di gara (o trattativa privata ex 109/94)
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_2859/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dait@21_1084/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dait@21_6620/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/08ir197/g11,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dait@21_0276/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dait@22_0397/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dait@21_4315/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dait@21_5075/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0382/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_0856/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_3718/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/at062a/101,Procedura negoziata - senza pubbl. bando di gara (o trattativa privata ex 109/94)
https://w3id.org/italia/env/ld/ihi/lot/dpc@20_5352/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dait@23_0598/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_4180/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/cb084b/101,Appalto integrato
https://w3id.org/italia/env/ld/ihi/lot/dait@21_1266/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_0615/xm1,dato mancante
https://w3id.org/italia/env/ld/ihi/lot/596/991,dato mancante
