Subject,amountFinanced
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_5252/xm,200000.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_0545/xm,997600.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@22_0977/xm,950000.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_4889/xm,160000.00
https://w3id.org/italia/env/ld/ihi/intervention/dpc@21_6865/xm,140886.63
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_0384/xm,800000.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1916/xm,100000.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@22_0507/xm,800000.00
https://w3id.org/italia/env/ld/ihi/intervention/me120a/10,1000000.00
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_3561/xm,700000.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_0133/xm,485000.00
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_0401/xm,642500.00
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1538/xm,10000.00
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_3735/xm,4900000.00
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1059/xm,250000.00
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_0761/xm,25000.00
https://w3id.org/italia/env/ld/ihi/intervention/dpc@20_5773/xm,800000.00
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_2518/xm,902669.38
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_3294/xm,228000.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1773/xm,450000.00
https://w3id.org/italia/env/ld/ihi/intervention/20ir019/mt,340000.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_1386/xm,970000.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_0108/xm,996800.05
https://w3id.org/italia/env/ld/ihi/intervention/ms047a/10,600000.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_2119/xm,195000.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_6884/xm,230000.00
https://w3id.org/italia/env/ld/ihi/intervention/dpc@22_5919/xm,1000000.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@22_0817/xm,998500.00
https://w3id.org/italia/env/ld/ihi/intervention/dpc@21_6264/xm,807000.00
https://w3id.org/italia/env/ld/ihi/intervention/176/09,400000.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_2790/xm,450000.00
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_7264/xm,260000.00
