Subject,cup
https://w3id.org/italia/env/ld/ihi/lot/dait@21_7230/xm1,J59C21000090001
https://w3id.org/italia/env/ld/ihi/lot/18ir067/g11,J13B17000090001
https://w3id.org/italia/env/ld/ihi/lot/en175a/101,J25C11002140001
https://w3id.org/italia/env/ld/ihi/lot/dpc@22_6324/xm1,F67H21009770005
https://w3id.org/italia/env/ld/ihi/lot/dait@21_4924/xm1,F26B18000350005
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0587/xm1,E83B18000010001
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_4658/xm1,I27H21004690001
https://w3id.org/italia/env/ld/ihi/lot/rn075a/1010,E99H09000440002
https://w3id.org/italia/env/ld/ihi/lot/dait@23_1243/xm1,I67H22000420005
https://w3id.org/italia/env/ld/ihi/lot/09ir016/mt1,I77H19002080002
https://w3id.org/italia/env/ld/ihi/lot/dait@21_6168/xm1,C84E19000280001
https://w3id.org/italia/env/ld/ihi/lot/dait@22_0107/xm1,J85H20000540001
https://w3id.org/italia/env/ld/ihi/lot/dait@21_6632/xm1,D38B20001510001
https://w3id.org/italia/env/ld/ihi/lot/dait@21_2994/xm1,D47F18000250001
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_3042/xm1,H33H19000130005
https://w3id.org/italia/env/ld/ihi/lot/cz012a/101,J55D12000080003
https://w3id.org/italia/env/ld/ihi/lot/me130a/101,J33B10000710006
https://w3id.org/italia/env/ld/ihi/lot/10ir097/g12,J63G14000620002
https://w3id.org/italia/env/ld/ihi/lot/dait@21_4856/xm1,D96J20000750007
https://w3id.org/italia/env/ld/ihi/lot/dpc@22_5664/xm1,C27H22001560006
https://w3id.org/italia/env/ld/ihi/lot/dpc@21_5830/xm1,F55H21000160001
https://w3id.org/italia/env/ld/ihi/lot/16ir415/g11,B36C18000520001
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_2292/xm1,J75H21000320001
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1924/xm1,G33H19001130002
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_4261/xm1,D27H19000680001
https://w3id.org/italia/env/ld/ihi/lot/dait@23_0941/xm1,G57H22000320001
https://w3id.org/italia/env/ld/ihi/lot/dait@22_0882/xm1,E42E22000010001
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_2072/xm1,J67H21000020001
https://w3id.org/italia/env/ld/ihi/lot/at052a/101,E51J17000010002
https://w3id.org/italia/env/ld/ihi/lot/dait@21_3004/xm1,E87B20000480001
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_3280/xm1,C13B19000010002
