Subject,Subject
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_2031/xm,Programmi Ministero Interni
https://w3id.org/italia/env/ld/ihi/agreement/15ir337/g1,AdP integrativi su Piano nazionale 2015-20
https://w3id.org/italia/env/ld/ihi/agreement/dpc@22_5545/xm,Programmazioni Dip. Protezione Civile - PNRR
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_0714/xm,Programmi Ministero Interni
https://w3id.org/italia/env/ld/ihi/agreement/346/06,programma stralcio
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_5154/xm,Programmazioni Dipartimento Protezione Civile
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_0022/xm,Programmazioni Dipartimento Protezione Civile
https://w3id.org/italia/env/ld/ihi/agreement/mt079a/10,Accordi Programma MATTM-Regioni
https://w3id.org/italia/env/ld/ihi/agreement/071/06,programma stralcio
https://w3id.org/italia/env/ld/ihi/agreement/dpc@22_5664/xm,Programmazioni Dip. Protezione Civile - PNRR
https://w3id.org/italia/env/ld/ihi/agreement/129/08,Piano strategico
https://w3id.org/italia/env/ld/ihi/agreement/433/06,programma stralcio
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_1314/xm,Programmi Ministero Interni
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_2045/xm,Programmazioni Dipartimento Protezione Civile
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_1539/xm,Programmi Ministero Interni
https://w3id.org/italia/env/ld/ihi/agreement/dait@23_1550/xm,Programmi Ministero Interni
https://w3id.org/italia/env/ld/ihi/agreement/dait@19_0637/xm,Programmi Ministero Interni
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_0613/xm,Programmazioni Dipartimento Protezione Civile
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_2137/xm,Programmazioni Dipartimento Protezione Civile
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_1642/xm,Programmi Ministero Interni
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_4164/xm,Programmi Ministero Interni
https://w3id.org/italia/env/ld/ihi/agreement/na031a/10,Accordi Programma MATTM-Regioni
https://w3id.org/italia/env/ld/ihi/agreement/18ir007/g3,Piano operativo dissesto
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_2853/xm,Programmazioni Dipartimento Protezione Civile
https://w3id.org/italia/env/ld/ihi/agreement/19ira77/g1,Piano stralcio 2019
https://w3id.org/italia/env/ld/ihi/agreement/05ir004/ci,Programmazioni Casa Italia
https://w3id.org/italia/env/ld/ihi/agreement/dpc@22_6828/xm,Programmazioni Dip. Protezione Civile - PNRR
https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_3406/xm,Programmazioni Dipartimento Protezione Civile
