Subject,isLotOf,note
https://w3id.org/italia/env/ld/ihi/lot/dpc@22_5325/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dpc@22_5325/xm,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_5462/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dait@21_5462/xm,
https://w3id.org/italia/env/ld/ihi/lot/268/061,https://w3id.org/italia/env/ld/ihi/intervention/268/06,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_7558/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dait@21_7558/xm,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1314/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1314/xm,
https://w3id.org/italia/env/ld/ihi/lot/dpc@20_5767/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dpc@20_5767/xm,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_6589/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dait@21_6589/xm,
https://w3id.org/italia/env/ld/ihi/lot/dait@23_0591/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dait@23_0591/xm,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_2901/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_2901/xm,
https://w3id.org/italia/env/ld/ihi/lot/054/061,https://w3id.org/italia/env/ld/ihi/intervention/054/06,
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0026/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dait@19_0026/xm,
https://w3id.org/italia/env/ld/ihi/lot/19ir174/g11,https://w3id.org/italia/env/ld/ihi/intervention/19ir174/g1,Decreto Commissariale n. 2113 del 28/10/2021 - Disimpegno e Definanziamento Somme - Approvazione Nuovo Quadro Economico Finale
https://w3id.org/italia/env/ld/ihi/lot/dait@21_4370/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dait@21_4370/xm,
https://w3id.org/italia/env/ld/ihi/lot/293/061,https://w3id.org/italia/env/ld/ihi/intervention/293/06,
https://w3id.org/italia/env/ld/ihi/lot/01ir271/g11,https://w3id.org/italia/env/ld/ihi/intervention/01ir271/g1,
https://w3id.org/italia/env/ld/ihi/lot/dait@22_0581/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dait@22_0581/xm,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_4127/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_4127/xm,
https://w3id.org/italia/env/ld/ihi/lot/dpc@22_6292/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dpc@22_6292/xm,
https://w3id.org/italia/env/ld/ihi/lot/dpc@21_5844/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dpc@21_5844/xm,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_3617/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dait@21_3617/xm,
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0230/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dait@19_0230/xm,
https://w3id.org/italia/env/ld/ihi/lot/18ir039/g11,https://w3id.org/italia/env/ld/ihi/intervention/18ir039/g1,
https://w3id.org/italia/env/ld/ihi/lot/dait@23_0287/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dait@23_0287/xm,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_1818/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dait@21_1818/xm,
https://w3id.org/italia/env/ld/ihi/lot/dait@21_3738/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dait@21_3738/xm,
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0130/xm1,https://w3id.org/italia/env/ld/ihi/intervention/dait@19_0130/xm,
