Subject,isMemberOf
https://w3id.org/italia/env/ld/ihi/intervention/08ir401/g1,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/484/02,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_2458/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/211/02,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_6723/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1984/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_3823/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_4762/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_4932/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_7087/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/077/99,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_1707/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_2333/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_0716/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_3258/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_5917/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_2803/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dpc@20_6172/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dait@22_0920/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_6565/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/544/99,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_3030/xm,https://w3id.org/italia/env/ld/dissesto/dataset
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1279/xm,https://w3id.org/italia/env/ld/dissesto/dataset
