Subject,officialInstabilityType
https://w3id.org/italia/env/ld/ihi/intervention/05ir021/g9,Costiero
https://w3id.org/italia/env/ld/ihi/intervention/vb207a/10,Frana
https://w3id.org/italia/env/ld/ihi/intervention/295/09,Frana
https://w3id.org/italia/env/ld/ihi/intervention/dpc@21_6231/xm,Alluvione
https://w3id.org/italia/env/ld/ihi/intervention/maaf@22_0056/xm,Non definito
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_3021/xm,Non definito
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1731/xm,Non definito
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_2534/xm,Alluvione
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_4809/xm,Alluvione
https://w3id.org/italia/env/ld/ihi/intervention/144/09,Alluvione
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_3613/xm,Alluvione
https://w3id.org/italia/env/ld/ihi/intervention/16ir857/g1,Frana
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_3530/xm,Non definito
https://w3id.org/italia/env/ld/ihi/intervention/dpc@22_5387/xm,Non definito
https://w3id.org/italia/env/ld/ihi/intervention/792/99,Frana
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_0130/xm,Non definito
https://w3id.org/italia/env/ld/ihi/intervention/19ir011/mt,Frana
https://w3id.org/italia/env/ld/ihi/intervention/450/99,Frana
