Subject,instabilityType,instabilityGroup
https://w3id.org/italia/env/ld/ihi/instability/310/071df-1,,Frana
https://w3id.org/italia/env/ld/ihi/instability/146/991di-2,,Idraulico
https://w3id.org/italia/env/ld/ihi/instability/480/991di-1,,Idraulico
https://w3id.org/italia/env/ld/ihi/instability/022/021di-2,,Idraulico
https://w3id.org/italia/env/ld/ihi/instability/103/981df-7,,Frana
https://w3id.org/italia/env/ld/ihi/instability/454/061df-12,,Frana
https://w3id.org/italia/env/ld/ihi/instability/009/992df-9,,Frana
https://w3id.org/italia/env/ld/ihi/instability/147/992di-6,,Idraulico
https://w3id.org/italia/env/ld/ihi/instability/bs030b/101di-1,di-1,Idraulico
https://w3id.org/italia/env/ld/ihi/instability/11ir218/g11di-4,,Idraulico
https://w3id.org/italia/env/ld/ihi/instability/248/021df-15,,Frana
https://w3id.org/italia/env/ld/ihi/instability/152/021df-9,,Frana
