Subject,lithologyRelatedTo
https://w3id.org/italia/env/ld/ihi/lithology/193/021lf-20,https://w3id.org/italia/env/ld/ihi/lot/193/021
https://w3id.org/italia/env/ld/ihi/lithology/250/091lf-6,https://w3id.org/italia/env/ld/ihi/lot/250/091
https://w3id.org/italia/env/ld/ihi/lithology/239/061lf-20,https://w3id.org/italia/env/ld/ihi/lot/239/061
https://w3id.org/italia/env/ld/ihi/lithology/bl005b/101lf-17,https://w3id.org/italia/env/ld/ihi/lot/bl005b/101
https://w3id.org/italia/env/ld/ihi/lithology/116/071lf-4,https://w3id.org/italia/env/ld/ihi/lot/116/071
https://w3id.org/italia/env/ld/ihi/lithology/393/091lf-20,https://w3id.org/italia/env/ld/ihi/lot/393/091
https://w3id.org/italia/env/ld/ihi/lithology/080/071lf-20,https://w3id.org/italia/env/ld/ihi/lot/080/071
https://w3id.org/italia/env/ld/ihi/lithology/135/092lf-18,https://w3id.org/italia/env/ld/ihi/lot/135/092
https://w3id.org/italia/env/ld/ihi/lithology/512/091lf-6,https://w3id.org/italia/env/ld/ihi/lot/512/091
https://w3id.org/italia/env/ld/ihi/lithology/280/991lf-18,https://w3id.org/italia/env/ld/ihi/lot/280/991
https://w3id.org/italia/env/ld/ihi/lithology/394/021lf-16,https://w3id.org/italia/env/ld/ihi/lot/394/021
https://w3id.org/italia/env/ld/ihi/lithology/217/021lf-6,https://w3id.org/italia/env/ld/ihi/lot/217/021
